"age.response","age.text","gender.response","gender.text","race.response","race.text","response","ucla_time.response.duration","ucla_time.response.unit","ucla_time.text","ID","ucla_time.unit"
21,"Please enter your age","female","Please select you gender","other","Please select your race","Afro-latina",4,"year(s)","How long have you been at UCLA?",2,NA
18,"Please enter your age","female","Please select you gender","other","Please select your race","Hispanic, Middle eastern, White ",7,"week(s)","How long have you been at UCLA?",1,NA
18,"Please enter your age","female","Please select you gender","white","Please select your race",NA,2,"month(s)","How long have you been at UCLA?",10,NA
20,"Please enter your age","male","Please select you gender","southasian","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",100,NA
19,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",101,NA
20,"Please enter your age","female","Please select you gender","other","Please select your race","Filipino",3,"year(s)","How long have you been at UCLA?",102,NA
20,"Please enter your age","female","Please select you gender","white","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",103,NA
18,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",104,NA
20,"Please enter your age","female","Please select you gender","other","Please select your race","White and Asian",2.5,"year(s)","How long have you been at UCLA?",105,NA
21,"Please enter your age","female","Please select you gender","white","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",106,NA
20,"Please enter your age","female","Please select you gender","other","Please select your race","Half Vietnamese and Half White",2.5,"year(s)","How long have you been at UCLA?",107,NA
21,"Please enter your age","female","Please select you gender","white","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",108,NA
22,"Please enter your age","male","Please select you gender","white","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",109,NA
19,"Please enter your age","male","Please select you gender","latino","Please select your race",NA,1,"year(s)","How long have you been at UCLA?",11,NA
21,"Please enter your age","male","Please select you gender","white","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",110,NA
19,"Please enter your age","female","Please select you gender","white","Please select your race",NA,6,"month(s)","How long have you been at UCLA?",111,NA
21,"Please enter your age","female","Please select you gender","na","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",112,NA
22,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",113,NA
20,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",114,NA
20,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",115,NA
21,"Please enter your age","other","Please select you gender","latino","Please select your race","NonBinary",4,"year(s)","How long have you been at UCLA?",116,NA
20,"Please enter your age","male","Please select you gender","white","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",117,NA
19,"Please enter your age","female","Please select you gender","other","Please select your race","Filipino/Hawaiian",5,"month(s)","How long have you been at UCLA?",119,NA
20,"Please enter your age","male","Please select you gender","latino","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",12,NA
19,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",120,NA
22,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",121,NA
21,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",122,NA
20,"Please enter your age","female","Please select you gender","white","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",123,NA
20,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,1,"year(s)","How long have you been at UCLA?",124,NA
20,"Please enter your age","male","Please select you gender","mideastern","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",125,NA
18,"Please enter your age","female","Please select you gender","white","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",126,NA
19,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,1.5,"year(s)","How long have you been at UCLA?",127,NA
19,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",128,NA
20,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",129,NA
21,"Please enter your age","male","Please select you gender","white","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",13,NA
20,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,2.5,"year(s)","How long have you been at UCLA?",130,NA
21,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",131,NA
20,"Please enter your age","female","Please select you gender","white","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",132,NA
20,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",133,NA
20,"Please enter your age","female","Please select you gender","white","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",134,NA
20,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",135,NA
20,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,2.5,"year(s)","How long have you been at UCLA?",136,NA
18,"Please enter your age","male","Please select you gender","eastasian","Please select your race",NA,6,"month(s)","How long have you been at UCLA?",137,NA
21,"Please enter your age","female","Please select you gender","other","Please select your race","White and Asian",3,"year(s)","How long have you been at UCLA?",138,NA
21,"Please enter your age","male","Please select you gender","southasian","Please select your race",NA,3.5,"year(s)","How long have you been at UCLA?",139,NA
18,"Please enter your age","male","Please select you gender","eastasian","Please select your race",NA,2,"month(s)","How long have you been at UCLA?",14,NA
20,"Please enter your age","male","Please select you gender","latino","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",140,NA
22,"Please enter your age","male","Please select you gender","eastasian","Please select your race",NA,3.5,"year(s)","How long have you been at UCLA?",141,NA
19,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,1.5,"year(s)","How long have you been at UCLA?",143,NA
32,"Please enter your age","male","Please select you gender","white","Please select your race",NA,4,"month(s)","How long have you been at UCLA?",144,NA
21,"Please enter your age","female","Please select you gender","white","Please select your race",NA,6,"month(s)","How long have you been at UCLA?",145,NA
20,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",146,NA
19,"Please enter your age","male","Please select you gender","southasian","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",147,NA
20,"Please enter your age","male","Please select you gender","white","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",148,NA
18,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,18,"week(s)","How long have you been at UCLA?",149,NA
19,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,16,"month(s)","How long have you been at UCLA?",15,NA
19,"Please enter your age","female","Please select you gender","other","Please select your race","Asian, Caucasian, Pacific Islander",6,"month(s)","How long have you been at UCLA?",150,NA
20,"Please enter your age","female","Please select you gender","other","Please select your race","Half caucasian half hispanic",1.5,"year(s)","How long have you been at UCLA?",151,NA
21,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",152,NA
19,"Please enter your age","female","Please select you gender","mideastern","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",153,NA
19,"Please enter your age","female","Please select you gender","white","Please select your race",NA,19,"week(s)","How long have you been at UCLA?",154,NA
19,"Please enter your age","female","Please select you gender","white","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",155,NA
19,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,1,"year(s)","How long have you been at UCLA?",156,NA
21,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",157,NA
21,"Please enter your age","male","Please select you gender","latino","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",158,NA
19,"Please enter your age","female","Please select you gender","white","Please select your race",NA,6,"month(s)","How long have you been at UCLA?",159,NA
21,"Please enter your age","male","Please select you gender","white","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",16,NA
