"ID","degree","betweenness","constraint","transitivity","density","k_core_max","strength_close","strength_freq","log_degree","log_constraint","strength_close_norm","strength_freq_norm"
"2",9,0.75,0.27880658436214,0.608695652173913,0.4,4,23,37,2.19722457733622,-1.27723698358074,2.55555555555556,4.11111111111111
"1",5,0.75,0.382222222222222,0.4,0.466666666666667,2,14,23,1.6094379124341,-0.961753105950912,2.8,4.6
"10",15,0.489761904761905,0.229913820301783,0.828,0.525,8,37,71,2.70805020110221,-1.47005073461448,2.46666666666667,4.73333333333333
"100",6,0.333333333333333,0.491057098765432,0.765957446808511,0.666666666666667,4,17,24,1.79175946922805,-0.711194867184236,2.83333333333333,4
"101",8,0.875,0.235243055555556,0.257142857142857,0.305555555555556,2,18,33,2.07944154167984,-1.44713602037614,2.25,4.125
"102",11,0.872727272727273,0.199724517906336,0.36,0.272727272727273,3,26,39,2.39789527279837,-1.61081627240422,2.36363636363636,3.54545454545455
"103",11,0.533333333333333,0.277892280879294,0.58273381294964,0.424242424242424,4,33,47,2.39789527279837,-1.28052171923229,3,4.27272727272727
"104",8,0.0273809523809524,0.434978121456916,0.895522388059702,0.888888888888889,6,17,36,2.07944154167984,-0.832459544659657,2.125,4.5
"105",5,1,0.2,0,0.333333333333333,1,15,21,1.6094379124341,-1.6094379124341,3,4.2
"106",15,0.768253968253968,0.174407407407407,0.414364640883978,0.266666666666667,4,37,65,2.70805020110221,-1.74636129474291,2.46666666666667,4.33333333333333
"107",17,0.731617647058823,0.179443483275663,0.565836298932384,0.300653594771242,5,51,79,2.83321334405622,-1.71789497703448,3,4.64705882352941
"108",13,0.438797313797314,0.24867817952296,0.77710843373494,0.516483516483517,7,34,53,2.56494935746154,-1.39159567016852,2.61538461538462,4.07692307692308
"109",17,0.727941176470588,0.182047564123689,0.698275862068966,0.339869281045752,7,39,80,2.83321334405622,-1.70348728471009,2.29411764705882,4.70588235294118
"11",8,0.732142857142857,0.309787326388889,0.456521739130435,0.388888888888889,3,20,37,2.07944154167984,-1.17186926084556,2.5,4.625
"110",13,0.858974358974359,0.17776134122288,0.311320754716981,0.241758241758242,3,30,53,2.56494935746154,-1.72731340798607,2.30769230769231,4.07692307692308
"111",30,0.780766283524904,0.100142126480222,0.449477351916376,0.195698924731183,6,68,121,3.40119738166216,-2.30116483723268,2.26666666666667,4.03333333333333
"112",4,0,0.765625,1,1,4,8,16,1.38629436111989,-0.267062785249045,2,4
"113",14,0.43992673992674,0.239785939082738,0.606382978723404,0.428571428571429,5,31,62,2.63905732961526,-1.42800867412649,2.21428571428571,4.42857142857143
"114",2,0,1.125,1,1,2,6,10,0.693147180559945,0.117783035656383,3,5
"115",23,0.876811594202898,0.116980151228733,0.267062314540059,0.166666666666667,4,66,91,3.13549421592915,-2.14575100619383,2.8695652173913,3.95652173913043
"116",6,0.866666666666667,0.305555555555556,0.315789473684211,0.380952380952381,2,15,26,1.79175946922805,-1.18562366565774,2.5,4.33333333333333
"117",9,0.777777777777778,0.266117969821674,0.346153846153846,0.333333333333333,2,25,43,2.19722457733622,-1.32381557294533,2.77777777777778,4.77777777777778
"119",11,0.890909090909091,0.196969696969697,0.3,0.257575757575758,3,24,43,2.39789527279837,-1.62470538456489,2.18181818181818,3.90909090909091
"12",6,0.8,0.375,0.428571428571429,0.428571428571429,2,12,26,1.79175946922805,-0.980829253011726,2,4.33333333333333
"120",11,0.539393939393939,0.250028696051423,0.721311475409836,0.46969696969697,6,30,50,2.39789527279837,-1.3861795835014,2.72727272727273,4.54545454545455
"121",7,0.80952380952381,0.302721088435374,0.46875,0.392857142857143,3,15,25,1.94591014905531,-1.19494339760654,2.14285714285714,3.57142857142857
"122",8,0.892857142857143,0.2421875,0.264705882352941,0.305555555555556,2,22,37,2.07944154167984,-1.41804305943447,2.75,4.625
"123",7,0.103174603174603,0.471983895599056,0.828571428571429,0.785714285714286,5,17,35,1.94591014905531,-0.75081041347219,2.42857142857143,5
"124",9,0.701388888888889,0.27716049382716,0.6375,0.422222222222222,4,25,41,2.19722457733622,-1.28315854048418,2.77777777777778,4.55555555555556
"125",8,0.517857142857143,0.339848090277778,0.523809523809524,0.472222222222222,3,21,36,2.07944154167984,-1.07925655451445,2.625,4.5
"126",12,0.679292929292929,0.227129147376543,0.448818897637795,0.320512820512821,4,32,56,2.484906649788,-1.48223649210652,2.66666666666667,4.66666666666667
"127",7,0.19047619047619,0.461080105511592,0.818181818181818,0.714285714285714,5,20,34,1.94591014905531,-0.774183486413591,2.85714285714286,4.85714285714286
"128",34,0.415465580171463,0.109525466733456,0.710240368784985,0.366386554621849,13,92,132,3.52636052461616,-2.2115981838582,2.70588235294118,3.88235294117647
"129",8,0.690476190476191,0.330946180555556,0.6,0.444444444444444,3,18,32,2.07944154167984,-1.10579951333422,2.25,4
"13",4,0,0.765625,1,1,4,12,20,1.38629436111989,-0.267062785249045,3,5
"130",13,0.699145299145299,0.216908820727502,0.622340425531915,0.362637362637363,5,36,60,2.56494935746154,-1.52827819472169,2.76923076923077,4.61538461538461
"131",13,0.858974358974359,0.188650558842867,0.29126213592233,0.241758241758242,3,34,50,2.56494935746154,-1.66785887024985,2.61538461538462,3.84615384615385
"132",12,0.676767676767677,0.245989583333333,0.658064516129032,0.397435897435897,5,31,51,2.484906649788,-1.40246608811976,2.58333333333333,4.25
"133",9,0.861111111111111,0.238683127572016,0.36734693877551,0.311111111111111,3,20,35,2.19722457733622,-1.43261843279413,2.22222222222222,3.88888888888889
"134",14,0.695970695970696,0.209094127446897,0.413173652694611,0.295238095238095,3,37,64,2.63905732961526,-1.56497075784439,2.64285714285714,4.57142857142857
"135",20,0.582456140350877,0.168406114969136,0.595505617977528,0.338095238095238,6,56,91,2.99573227355399,-1.78137686566492,2.8,4.55
"136",11,0.83030303030303,0.179123048668503,0.433333333333333,0.287878787878788,4,27,49,2.39789527279837,-1.71968228657909,2.45454545454545,4.45454545454545
"137",17,0.845588235294118,0.141097654748174,0.310880829015544,0.209150326797386,4,37,71,2.83321334405622,-1.95830304146509,2.17647058823529,4.17647058823529
"138",6,0.4,0.473888888888889,0.583333333333333,0.571428571428571,3,16,27,1.79175946922805,-0.746782396392577,2.66666666666667,4.5
"139",8,0.928571428571429,0.203125,0.1875,0.277777777777778,2,21,36,2.07944154167984,-1.59393372589814,2.625,4.5
"14",21,0.818650793650794,0.140515577357171,0.49468085106383,0.238095238095238,5,50,92,3.04452243772342,-1.96243692548451,2.38095238095238,4.38095238095238
"140",4,0.166666666666667,0.704427083333333,0.789473684210526,0.8,3,11,20,1.38629436111989,-0.350370454301191,2.75,5
"141",8,0.145238095238095,0.404045138888889,0.558823529411765,0.638888888888889,4,21,35,2.07944154167984,-0.906228677339317,2.625,4.375
"143",14,0.851648351648352,0.171449829931973,0.383458646616541,0.247619047619048,4,37,57,2.63905732961526,-1.7634645920132,2.64285714285714,4.07142857142857
"144",5,0.4,0.536388888888889,0.545454545454545,0.6,2,12,21,1.6094379124341,-0.622895842015687,2.4,4.2
"145",19,0.630604288499025,0.17545021702125,0.815789473684211,0.405263157894737,10,30,80,2.94443897916644,-1.74039994001295,1.57894736842105,4.21052631578947
"146",15,0.382312925170068,0.223870617407359,0.691764705882353,0.458333333333333,7,36,63,2.70805020110221,-1.49668699486274,2.4,4.2
"147",17,0.955882352941177,0.10322952710496,0.139072847682119,0.150326797385621,3,30,72,2.83321334405622,-2.27080035149973,1.76470588235294,4.23529411764706
"148",14,0.334981684981685,0.240893716722992,0.649076517150396,0.476190476190476,6,26,51,2.63905732961526,-1.42339945221292,1.85714285714286,3.64285714285714
"149",9,0.409722222222222,0.349211598219535,0.828947368421053,0.622222222222222,6,23,45,2.19722457733622,-1.05207724188115,2.55555555555556,5
"15",10,0.844444444444444,0.222708333333333,0.338709677419355,0.290909090909091,3,24,36,2.30258509299405,-1.50189228587094,2.4,3.6
"150",11,0.881818181818182,0.189566115702479,0.220588235294118,0.242424242424242,2,29,53,2.39789527279837,-1.66301741978195,2.63636363636364,4.81818181818182
"151",7,0.341269841269841,0.435147392290249,0.67741935483871,0.607142857142857,3,21,34,1.94591014905531,-0.832070472433192,3,4.85714285714286
"152",11,0.282424242424242,0.311988706639681,0.640776699029126,0.515151515151515,5,20,50,2.39789527279837,-1.16478828849546,1.81818181818182,4.54545454545455
"153",11,0.312121212121212,0.292705293243713,0.737903225806452,0.575757575757576,6,29,51,2.39789527279837,-1.22858900125337,2.63636363636364,4.63636363636364
"154",17,0.816176470588235,0.164102268358324,0.364077669902913,0.235294117647059,3,45,77,2.83321334405622,-1.80726545795711,2.64705882352941,4.52941176470588
"155",17,0.686274509803922,0.177507900218911,0.5,0.294117647058824,5,40,72,2.83321334405622,-1.72874016278157,2.35294117647059,4.23529411764706
"156",11,0.362121212121212,0.289742054382206,0.666666666666667,0.515151515151515,5,28,51,2.39789527279837,-1.23876421946026,2.54545454545455,4.63636363636364
"157",20,0.352462406015038,0.18107696165634,0.665188470066519,0.438095238095238,8,57,86,2.99573227355399,-1.70883313556807,2.85,4.3
"158",2,1,0.5,0,0.666666666666667,1,6,10,0.693147180559945,-0.693147180559945,3,5
"159",3,0.666666666666667,0.611111111111111,0.6,0.666666666666667,2,6,14,1.09861228866811,-0.492476485097794,2,4.66666666666667
"16",18,0.255337690631808,0.199160842084605,0.613933236574746,0.461988304093567,7,47,70,2.89037175789616,-1.61364252903571,2.61111111111111,3.88888888888889
"160",20,0.619912280701754,0.158959490740741,0.486666666666667,0.29047619047619,5,57,84,2.99573227355399,-1.83910588443809,2.85,4.2
"161",15,0.682539682539683,0.189838044847569,0.473684210526316,0.3,5,31,64,2.70805020110221,-1.66158396585642,2.06666666666667,4.26666666666667
"162",16,0.681944444444444,0.18897937593006,0.659442724458204,0.345588235294118,7,42,54,2.77258872223978,-1.66611739193992,2.625,3.375
"163",30,0.672681992337165,0.115230380459755,0.689507494646681,0.294623655913978,10,71,114,3.40119738166216,-2.16082184621946,2.36666666666667,3.8
"164",20,0.602631578947368,0.162234668213781,0.63481228668942,0.338095238095238,7,49,85,2.99573227355399,-1.81871142269317,2.45,4.25
"165",8,0.75,0.306423611111111,0.466666666666667,0.388888888888889,3,19,33,2.07944154167984,-1.18278678432254,2.375,4.125
"166",20,0.652982456140351,0.156514950379256,0.642105263157895,0.323809523809524,8,54,90,2.99573227355399,-1.85460374398468,2.7,4.5
"167",5,0,0.648,1,1,5,14,22,1.6094379124341,-0.433864582629862,2.8,4.4
"168",4,0.583333333333333,0.534722222222222,0.545454545454545,0.6,2,9,19,1.38629436111989,-0.626007877722317,2.25,4.75
"169",9,0.875,0.229080932784636,0.266666666666667,0.288888888888889,2,26,42,2.19722457733622,-1.4736799195919,2.88888888888889,4.66666666666667
"17",11,0.313636363636364,0.292651936807781,0.756302521008403,0.575757575757576,6,23,43,2.39789527279837,-1.22877130509568,2.09090909090909,3.90909090909091
"170",5,0.8,0.4,0.428571428571429,0.466666666666667,2,10,22,1.6094379124341,-0.916290731874155,2,4.4
"171",5,0.2,0.593955555555556,0.75,0.733333333333333,3,11,23,1.6094379124341,-0.520950784715864,2.2,4.6
"172",17,0.720588235294118,0.184111880046136,0.751898734177215,0.359477124183007,8,45,67,2.83321334405622,-1.69221166242784,2.64705882352941,3.94117647058824
"173",5,0.9,0.3,0.25,0.4,2,14,23,1.6094379124341,-1.20397280432594,2.8,4.6
"174",3,0.166666666666667,0.839506172839506,0.75,0.833333333333333,2,5,12,1.09861228866811,-0.174941449496332,1.66666666666667,4
