"ID","n1","n2","in_ego","closeness","frequency"
2,0,1,1,3,5
2,0,2,1,3,5
2,0,3,1,2,3
2,0,4,1,1,3
2,0,5,1,2,4
2,0,6,1,3,5
2,0,7,1,3,4
2,0,8,1,3,4
2,0,9,1,3,4
2,1,2,1,NA,NA
2,1,4,1,NA,NA
2,2,4,1,NA,NA
2,6,7,1,NA,NA
2,6,8,1,NA,NA
2,7,8,1,NA,NA
2,6,9,1,NA,NA
2,7,9,1,NA,NA
2,8,9,1,NA,NA
1,0,1,1,3,5
1,0,2,1,3,4
1,0,3,1,2,5
1,0,4,1,3,5
1,0,5,1,3,4
1,1,2,1,NA,NA
1,1,4,1,NA,NA
10,0,1,1,3,5
10,0,2,1,3,5
10,0,3,1,3,5
10,0,4,1,3,5
10,0,5,1,2,4
10,0,6,1,2,4
10,0,7,1,2,4
10,0,8,1,2,5
10,0,9,1,3,5
10,0,10,1,3,5
10,0,11,1,3,5
10,0,12,1,2,5
10,0,13,1,2,5
10,0,14,1,2,5
10,0,15,1,2,4
10,1,2,1,NA,NA
10,1,3,1,NA,NA
10,2,3,1,NA,NA
10,1,4,1,NA,NA
10,2,4,1,NA,NA
10,3,4,1,NA,NA
10,5,6,1,NA,NA
10,5,7,1,NA,NA
10,6,7,1,NA,NA
10,5,8,1,NA,NA
10,6,8,1,NA,NA
10,7,8,1,NA,NA
10,1,9,1,NA,NA
10,2,9,1,NA,NA
10,3,9,1,NA,NA
10,4,9,1,NA,NA
10,1,10,1,NA,NA
10,2,10,1,NA,NA
10,3,10,1,NA,NA
10,4,10,1,NA,NA
10,9,10,1,NA,NA
10,1,11,1,NA,NA
10,2,11,1,NA,NA
10,3,11,1,NA,NA
10,4,11,1,NA,NA
10,9,11,1,NA,NA
10,10,11,1,NA,NA
10,2,12,1,NA,NA
10,9,12,1,NA,NA
10,11,12,1,NA,NA
10,2,13,1,NA,NA
10,3,13,1,NA,NA
10,4,13,1,NA,NA
10,9,13,1,NA,NA
10,10,13,1,NA,NA
10,11,13,1,NA,NA
10,12,13,1,NA,NA
10,1,14,1,NA,NA
10,2,14,1,NA,NA
10,3,14,1,NA,NA
10,4,14,1,NA,NA
10,9,14,1,NA,NA
10,10,14,1,NA,NA
10,11,14,1,NA,NA
10,13,14,1,NA,NA
10,5,15,1,NA,NA
10,6,15,1,NA,NA
10,7,15,1,NA,NA
100,0,1,1,3,5
100,0,2,1,3,3
100,0,3,1,2,4
100,0,4,1,3,4
100,0,5,1,3,4
100,0,6,1,3,4
100,1,3,1,NA,NA
100,2,3,1,NA,NA
100,2,4,1,NA,NA
100,2,5,1,NA,NA
100,4,5,1,NA,NA
100,2,6,1,NA,NA
100,4,6,1,NA,NA
100,5,6,1,NA,NA
101,0,1,1,3,5
101,0,2,1,3,5
101,0,3,1,2,3
101,0,4,1,2,4
101,0,5,1,2,4
101,0,6,1,2,4
101,0,7,1,2,5
101,0,8,1,2,3
101,1,2,1,NA,NA
101,1,4,1,NA,NA
101,5,6,1,NA,NA
102,0,1,1,2,5
102,0,2,1,3,5
102,0,3,1,3,5
102,0,4,1,3,5
102,0,5,1,1,2
102,0,6,1,3,3
102,0,7,1,2,2
102,0,8,1,3,3
102,0,9,1,2,1
102,0,10,1,2,4
102,0,11,1,2,4
102,2,3,1,NA,NA
102,2,4,1,NA,NA
102,3,4,1,NA,NA
102,7,8,1,NA,NA
102,7,9,1,NA,NA
102,8,9,1,NA,NA
102,10,11,1,NA,NA
103,0,1,1,3,5
103,0,2,1,3,5
103,0,3,1,3,5
103,0,4,1,3,5
103,0,5,1,3,5
103,0,6,1,3,5
103,0,7,1,3,4
103,0,8,1,3,4
103,0,9,1,3,3
103,0,10,1,3,3
103,0,11,1,3,3
103,1,2,1,NA,NA
103,1,3,1,NA,NA
103,2,3,1,NA,NA
103,1,4,1,NA,NA
103,2,4,1,NA,NA
103,3,4,1,NA,NA
103,5,6,1,NA,NA
103,7,8,1,NA,NA
103,1,9,1,NA,NA
103,1,10,1,NA,NA
103,9,10,1,NA,NA
103,1,11,1,NA,NA
103,2,11,1,NA,NA
103,7,11,1,NA,NA
103,8,11,1,NA,NA
103,9,11,1,NA,NA
103,10,11,1,NA,NA
104,0,1,1,3,5
104,0,2,1,3,5
104,0,3,1,2,4
104,0,4,1,2,5
104,0,5,1,3,4
104,0,6,1,2,5
104,0,7,1,1,4
104,0,8,1,1,4
104,1,2,1,NA,NA
104,1,3,1,NA,NA
104,2,3,1,NA,NA
104,1,4,1,NA,NA
104,2,4,1,NA,NA
104,3,4,1,NA,NA
104,1,5,1,NA,NA
104,2,5,1,NA,NA
104,4,5,1,NA,NA
104,1,6,1,NA,NA
104,2,6,1,NA,NA
104,3,6,1,NA,NA
104,4,6,1,NA,NA
104,5,6,1,NA,NA
104,1,7,1,NA,NA
104,2,7,1,NA,NA
104,3,7,1,NA,NA
104,4,7,1,NA,NA
104,6,7,1,NA,NA
104,1,8,1,NA,NA
104,2,8,1,NA,NA
104,4,8,1,NA,NA
104,6,8,1,NA,NA
104,7,8,1,NA,NA
105,0,1,1,3,4
105,0,2,1,3,5
105,0,3,1,3,5
105,0,4,1,3,4
105,0,5,1,3,3
106,0,1,1,3,5
106,0,2,1,3,5
106,0,3,1,3,5
106,0,4,1,3,5
106,0,5,1,3,5
106,0,6,1,3,4
106,0,7,1,3,4
106,0,8,1,2,4
106,0,9,1,2,4
106,0,10,1,2,4
106,0,11,1,2,4
106,0,12,1,2,4
106,0,13,1,2,4
106,0,14,1,2,4
106,0,15,1,2,4
106,1,2,1,NA,NA
106,1,3,1,NA,NA
106,2,3,1,NA,NA
106,4,5,1,NA,NA
106,5,7,1,NA,NA
106,6,7,1,NA,NA
106,5,8,1,NA,NA
106,6,8,1,NA,NA
106,7,8,1,NA,NA
106,6,9,1,NA,NA
106,7,9,1,NA,NA
106,8,9,1,NA,NA
106,8,10,1,NA,NA
106,9,10,1,NA,NA
106,9,11,1,NA,NA
106,10,11,1,NA,NA
106,5,12,1,NA,NA
107,0,1,1,3,4
107,0,2,1,3,4
107,0,3,1,3,5
107,0,4,1,3,5
107,0,5,1,3,5
107,0,6,1,3,5
107,0,7,1,3,5
107,0,8,1,3,5
107,0,9,1,3,5
107,0,10,1,3,5
107,0,11,1,3,5
107,0,12,1,3,5
107,0,13,1,3,5
107,0,14,1,3,3
107,0,15,1,3,3
107,0,16,1,3,5
107,0,17,1,3,5
107,1,2,1,NA,NA
107,3,4,1,NA,NA
107,3,5,1,NA,NA
107,7,8,1,NA,NA
107,7,9,1,NA,NA
107,8,9,1,NA,NA
107,7,10,1,NA,NA
107,8,10,1,NA,NA
107,9,10,1,NA,NA
107,3,11,1,NA,NA
107,5,11,1,NA,NA
107,7,12,1,NA,NA
107,8,12,1,NA,NA
107,9,12,1,NA,NA
107,10,12,1,NA,NA
107,7,13,1,NA,NA
107,1,14,1,NA,NA
107,2,14,1,NA,NA
107,1,15,1,NA,NA
107,2,15,1,NA,NA
107,12,15,1,NA,NA
107,14,15,1,NA,NA
107,3,16,1,NA,NA
107,5,16,1,NA,NA
107,11,16,1,NA,NA
107,3,17,1,NA,NA
107,5,17,1,NA,NA
107,11,17,1,NA,NA
107,16,17,1,NA,NA
108,0,1,1,3,5
108,0,2,1,3,4
108,0,3,1,3,5
108,0,4,1,3,5
108,0,5,1,3,5
108,0,6,1,2,3
108,0,7,1,2,3
108,0,8,1,2,4
108,0,9,1,2,3
108,0,10,1,2,3
108,0,11,1,3,5
108,0,12,1,3,4
108,0,13,1,3,4
108,1,2,1,NA,NA
108,3,4,1,NA,NA
108,3,5,1,NA,NA
108,4,5,1,NA,NA
108,3,6,1,NA,NA
108,5,6,1,NA,NA
108,3,7,1,NA,NA
108,5,7,1,NA,NA
108,6,7,1,NA,NA
108,3,8,1,NA,NA
108,5,8,1,NA,NA
108,6,8,1,NA,NA
108,7,8,1,NA,NA
108,3,9,1,NA,NA
108,5,9,1,NA,NA
108,6,9,1,NA,NA
108,7,9,1,NA,NA
108,8,9,1,NA,NA
108,3,10,1,NA,NA
108,5,10,1,NA,NA
108,6,10,1,NA,NA
108,7,10,1,NA,NA
108,8,10,1,NA,NA
108,9,10,1,NA,NA
108,3,11,1,NA,NA
108,5,11,1,NA,NA
108,6,11,1,NA,NA
108,7,11,1,NA,NA
108,8,11,1,NA,NA
108,9,11,1,NA,NA
108,4,12,1,NA,NA
108,11,12,1,NA,NA
108,4,13,1,NA,NA
108,12,13,1,NA,NA
109,0,1,1,2,5
109,0,2,1,2,4
109,0,3,1,1,4
109,0,4,1,1,4
109,0,5,1,1,4
109,0,6,1,2,5
109,0,7,1,3,5
109,0,8,1,2,5
109,0,9,1,2,5
109,0,10,1,3,5
109,0,11,1,3,5
109,0,12,1,3,5
109,0,13,1,3,5
109,0,14,1,3,5
109,0,15,1,3,5
109,0,16,1,3,5
