Rank,Airports,IATA,Major city served,State or country,2016,2015,2014
1,Hartsfield–Jackson Atlanta International Airport,ATL,Atlanta,GA,"50,476,272","49,340,732","46,604,273"
2,Los Angeles International Airport,LAX,Los Angeles,CA,"39,635,691","36,351,226","34,314,197"
3,O'Hare International Airport,ORD,Chicago,IL,"37,499,201","36,305,668","33,686,811"
4,Dallas/Fort Worth International Airport,DFW,Dallas/Fort Worth,TX,"31,274,875","31,589,832","30,766,940"
5,John F. Kennedy International Airport,JFK,New York,NY,"29,224,554","27,717,503","26,244,928"
6,Denver International Airport,DEN,Denver,CO,"28,246,269","26,280,043","26,000,591"
7,San Francisco International Airport,SFO,San Francisco,CA,"25,706,994","24,190,549","22,756,008"
8,McCarran International Airport,LAS,Las Vegas,NV,"22,665,289","21,824,231","20,551,016"
9,Charlotte Douglas International Airport,CLT,Charlotte,NC,"21,955,996","21,913,156","21,542,277"
10,Seattle–Tacoma International Airport,SEA,Seattle/Tacoma,WA,"22,940,997","21,231,781","18,781,489"
11,Phoenix Sky Harbor International Airport,PHX,Phoenix,AZ,"20,896,229","21,351,445","20,344,867"
12,Miami International Airport,MIA,Miami,FL,"20,796,994","20,986,341","19,468,523"
13,Orlando International Airport,MCO,Orlando,FL,"20,283,479","18,759,938","17,278,608"
14,George Bush Intercontinental Airport,IAH,Houston,TX,"20,027,073","20,595,874","19,772,054"
15,Newark Liberty International Airport,EWR,Newark,NJ,"19,834,792","18,684,765","17,680,826"
16,Minneapolis–Saint Paul International Airport,MSP,Minneapolis/St. Paul,MN,"18,109,982","17,634,252","16,972,678"
17,Logan International Airport,BOS,Boston,MA,"17,749,202","16,290,323","15,425,869"
18,Detroit Metropolitan Airport,DTW,Detroit,MI,"16,826,287","16,255,507","15,775,941"
19,Philadelphia International Airport,PHL,Philadelphia,PA,"14,521,408","15,101,318","14,747,112"
20,LaGuardia Airport,LGA,New York,NY,"14,706,123","14,319,924","13,415,797"
21,Fort Lauderdale–Hollywood International Airport,FLL,Fort Lauderdale,FL,"14,263,202","13,061,607","11,987,607"
22,Baltimore–Washington International Airport,BWI,"Baltimore/Washington, D.C.",MD,"12,340,183","11,738,828","11,022,200"
23,Ronald Reagan Washington National Airport,DCA,"Washington, D.C.",VA,"11,372,460","11,242,375","10,057,794"
24,Salt Lake City International Airport,SLC,Salt Lake City,UT,"11,141,970","10,634,519","10,139,065"
25,Midway International Airport,MDW,Chicago,IL,"11,044,353","10,830,783","10,318,311"
26,Washington Dulles International Airport,IAD,"Washington, D.C.",VA,"10,596,883","10,363,918","10,415,948"
